"cellid","std.square.bo.sig","nat.full.bo.sig","nat.patch.bo.sig","nat.context.bo.sig","std.nat.context.bo.sig","std.nat.context.bo.sig.consistent"
"29fc1b",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"29eb1f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"29ed1c",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29ed1d",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29ee1d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29ef1a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29eg1g",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"29eh1b",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29eh1d",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"29ej1a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29ej1c",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"29ej1e",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29ek1b",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29ek1c",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"29dd1b",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29de1b",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29df1c",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"29df1d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29df1g",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29dh1d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29cc1a",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29cc1c",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"29cd1a",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"29cg1c",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29ck1j",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29cl1b",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29cn1b",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29cn1c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"29bi1b",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"29bm1d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29aa2k",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"29aa2m",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29ab1c",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"29ac1c",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29ak1h",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29al1c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"29an1c",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"28kb1e",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"28kc1l",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"28kc1m",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"28kf1h",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28kl1d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28ja1d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28jb1c",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"28jb1e",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"28jc1c",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"28jc1d",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"28jd1e",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"28jf1a",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"28jk1f",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"28jl1d",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"28jm1a",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"28jm1d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28jm1e",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"28ib1a",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"28ib1b",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28id1d",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"28id1e",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"28ie1b",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28ig1g",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28ih1b",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28ih1c",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"28ik1a",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"28ik1c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"28hb1b",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28hb1c",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28hc1g",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28hd1b",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28hf1f",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28hi1f",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28hi1g",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"28gb1c",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28gd1d",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28gd1g",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"28gd1j",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28ge1f",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"28gf1c",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28gk1a",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28fa1g",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28fc1c",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28fd1a",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28fd1b",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28fd1d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28fe1c",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"28ff1g",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28ec1d",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28ef1e",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27ra1l",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27rb1c",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27re1a",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27pa1a",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"27pc1a",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"27pe1c",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27pf1c",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"27ph1c",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27pi1g",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"27oe1d",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"27oi1c",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"27oj1h",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"27ol1e",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"27ol1f",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27om1b",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"27nb1c",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27ni1f",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27nj1g",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"27nj1j",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"27nk1d",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"27lf2q",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27li2b",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"27lj2d",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"27ll2e",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"27lm2a",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"27lm2g",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27lm2h",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"27kc2i",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"27kd2g",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27kd2j",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27kg2b",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27ib2k",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"27ib2o",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27id2b",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27if2b",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"27ih2e",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27ih2p",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27il2e",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27hb2h",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"27hf2f",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27gb2n",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"27gd2e",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27gm2f",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27gn2h",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27go2d",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27go2h",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"27ec2i",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27ed2c",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27ed2d",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"27ed2f",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"27eh2e",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"27ej2i",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27bk2g",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
